Frame,Fx,Fy,Fz,Cx,Cy,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z,1,5,4,6,2,3
11,-2.258063,4.115088,585.4083,0.830714161,0.38062128,0.752937195,0.221182983,0.912175598,0.731022583,0.51189566,0.902411011,0.972806274,0.37822995,0.834925415,0.870535217,0.366854858,1.45390686,0.860916199,0.191044647,0.835069214,0.765625854,0.295484772,0.469524872,0.89164325,0.256276886,0.071342018,0.914693481,0.272309845,0.02399345,0.741225342,0.288393005,0.024916691,0.693357422,0.243150589,0.018879915,0.778363892,0.202376205,0.016233437,0.893507263,0.336788086,0.018357252,0.876832092,0.543279602,0.823392456,0.773013062,0.448760651,0.465500671,0.89774231,0.481310364,0.072325081,0.914279907,0.469498138,0.019866251,0.74526886,0.435390381,0.025058397,0.694861328,0.477974915,0.019088327,0.781786194,0.52311377,0.018276125,0.896047974,0.402056152,0.020609064,2567175,4292002,2665007,4471387,4061173,1867972
12,-2.030472,3.824646,585.1915,0.830742994,0.380712049,0.752950256,0.221197052,0.912203308,0.731031433,0.511867218,0.902418884,0.972826599,0.378260895,0.834938599,0.870725952,0.366480225,1.453653564,0.860913635,0.191085968,0.835093384,0.76560022,0.295535492,0.46953656,0.891728149,0.256229858,0.071373245,0.914714661,0.272292511,0.023985287,0.741155762,0.288383057,0.024948812,0.693319092,0.243112839,0.018897976,0.778389404,0.202413712,0.016221863,0.893671509,0.337275269,0.018217976,0.876832153,0.543326172,0.823407166,0.773011414,0.44880307,0.465571899,0.897737976,0.481303589,0.072324905,0.914290649,0.46947937,0.019903328,0.745245728,0.435371582,0.025067438,0.694830078,0.477956787,0.019078512,0.781787842,0.523098938,0.018249828,0.89605426,0.402058411,0.020620642,2567004,4293164,2665007,4472018,4061684,1867800
13,-1.978877,3.737483,584.8536,0.830276236,0.380778578,0.752976013,0.221203476,0.912174988,0.731026978,0.511874847,0.902439453,0.972835266,0.378272034,0.834921997,0.870453186,0.366922699,1.453881958,0.860931458,0.191087067,0.835063171,0.765569824,0.295530579,0.469546387,0.89169751,0.256246826,0.071330994,0.914718445,0.272325562,0.02396991,0.741154663,0.288366302,0.024955782,0.693333069,0.243126465,0.018923773,0.778398376,0.202380814,0.01621509,0.893558228,0.336820618,0.01834108,0.876792908,0.543314941,0.823429443,0.773003357,0.448764832,0.465547485,0.897735535,0.481321564,0.072280975,0.914310547,0.469505188,0.019923872,0.74527771,0.435344543,0.025011562,0.694910645,0.4780159,0.01902709,0.78178717,0.523104004,0.018291189,0.896074585,0.402022278,0.020556852,2566833,4293503,2664661,4472018,4061757,1868243
14,-2.075313,3.538361,584.6416,0.830369908,0.380787754,0.752972839,0.221217636,0.912186829,0.73102832,0.511860443,0.902424133,0.972811035,0.378289093,0.834880737,0.870615051,0.366766296,1.453845215,0.860908691,0.191083771,0.835032471,0.765550415,0.295548187,0.469563568,0.891746704,0.256231903,0.071397354,0.914730469,0.2723302,0.02398842,0.741199646,0.288366852,0.024908236,0.693313721,0.243160324,0.018932076,0.778403381,0.202401123,0.016207136,0.893579773,0.337022583,0.01822101,0.876782043,0.543313232,0.823433655,0.772967041,0.448803436,0.465539978,0.897721619,0.481317535,0.072300598,0.914333557,0.469493439,0.019883318,0.745256897,0.435322418,0.025018103,0.694907043,0.478004852,0.018995481,0.781739075,0.523108521,0.01825116,0.896049927,0.402041656,0.020566235,2567078,4293068,2665475,4472673,4062171,1868243
15,-2.521267,3.412217,584.0058,0.830184337,0.380877109,0.75292157,0.221261139,0.912143433,0.731020569,0.51190448,0.902419983,0.972834045,0.378323212,0.834889282,0.870415833,0.366915741,1.453857788,0.860922058,0.191097473,0.83503772,0.765549805,0.295541504,0.469509857,0.891704651,0.256274902,0.07132489,0.914707031,0.272306305,0.02393405,0.741268677,0.288371338,0.02482406,0.693350952,0.243159149,0.018910933,0.778387085,0.202449188,0.016249617,0.893693176,0.336799683,0.0186548,0.876759583,0.543315247,0.823395935,0.772964539,0.448822144,0.465520416,0.897724182,0.481277924,0.072238892,0.914346863,0.469517212,0.019859859,0.745295593,0.435355988,0.024974934,0.694904663,0.478022888,0.019008839,0.781755981,0.523107361,0.018266336,0.896055176,0.402069397,0.020582188,2567273,4293068,2665598,4473571,4062171,1868169
16,-2.440495,3.186396,583.9078,0.830237363,0.380822809,0.752960571,0.221258881,0.912173523,0.731023926,0.511910736,0.902413086,0.972804932,0.378331329,0.834841736,0.870440735,0.366900085,1.453862549,0.860900757,0.191109833,0.835039429,0.765521912,0.295548645,0.46951178,0.891656799,0.256283936,0.071322708,0.914685303,0.272351868,0.023968666,0.741226196,0.288425415,0.024835266,0.69331427,0.243167221,0.01891893,0.778409607,0.202420944,0.016195118,0.893494385,0.33656723,0.018540283,0.87678009,0.543347961,0.823407654,0.772914551,0.448789551,0.465531738,0.897727051,0.481416382,0.072357422,0.914279236,0.469523956,0.019888277,0.745311096,0.435353699,0.024937048,0.69480658,0.477983063,0.019043976,0.781759888,0.523127686,0.018291435,0.896056396,0.402066772,0.020606394,2567444,4292874,2665574,4473911,4062293,1868144
17,-2.76646,3.008029,584.4464,0.829945216,0.380856834,0.752960144,0.221258286,0.912130188,0.731059387,0.511955505,0.902438171,0.972863281,0.378362457,0.834852844,0.87040802,0.366906342,1.453851685,0.860914551,0.191093903,0.835043335,0.765557983,0.295601105,0.469563904,0.891685669,0.25628476,0.071343132,0.914717163,0.272326569,0.023958164,0.741179138,0.288401642,0.024916874,0.693324097,0.243161301,0.018916597,0.77842395,0.20239505,0.016211878,0.893621521,0.336780151,0.018620493,0.876759888,0.543346252,0.823384583,0.77290271,0.448797852,0.465540131,0.897724243,0.481368622,0.072332756,0.914284973,0.469505737,0.019919209,0.745229309,0.435422424,0.025004889,0.694877258,0.478056091,0.019021093,0.781772583,0.523144531,0.018279554,0.896046997,0.402043762,0.020591404,2567444,4293189,2665401,4474202,4062049,1868095
18,-2.685946,2.887235,583.4953,0.829894568,0.381031773,0.752948242,0.221266556,0.912166931,0.731058044,0.511927307,0.902426208,0.972835083,0.378320282,0.83483075,0.870585815,0.366759888,1.453868774,0.860918335,0.191117203,0.835039734,0.765579285,0.295603149,0.469519379,0.891643372,0.256271667,0.071357536,0.914662842,0.272328339,0.023986423,0.74119696,0.288377625,0.024961262,0.693328125,0.243154099,0.018883602,0.7783927,0.202410065,0.016258282,0.89364502,0.336803162,0.018648111,0.87682196,0.543368469,0.823388733,0.772887634,0.448805176,0.465546448,0.897718628,0.48132431,0.072315979,0.914283569,0.469523224,0.019920639,0.745204773,0.435368652,0.025010008,0.694793823,0.477974609,0.01905101,0.781793274,0.523145813,0.01831139,0.896018005,0.402067444,0.020606279,2567982,4293285,2665475,4474129,4061635,1868169
19,-2.77802,3.027316,583.5234,0.829584886,0.381008365,0.752935242,0.221269806,0.912139648,0.731078735,0.511930634,0.902427856,0.972867981,0.378337036,0.834855469,0.870310303,0.366940033,1.453780029,0.860925964,0.191127335,0.835044739,0.765523804,0.295552032,0.469536072,0.891660889,0.256284973,0.071357697,0.914717468,0.27233725,0.024003641,0.74120929,0.288382172,0.024895332,0.693354858,0.243133591,0.018877785,0.778394653,0.202417267,0.016239119,0.893572266,0.336708893,0.01855917,0.876815369,0.543375061,0.823383118,0.772889526,0.448809082,0.465524933,0.897710815,0.481341431,0.072309395,0.914291016,0.469506348,0.019923691,0.745295898,0.43538205,0.024997086,0.694891052,0.478023346,0.018995733,0.781764771,0.523103577,0.018230936,0.896000061,0.402072266,0.020606462,2568471,4293915,2665598,4473595,4061611,1867948
20,-2.697778,3.263805,582.817,0.829681558,0.380984455,0.752979553,0.221289902,0.912149719,0.731063843,0.511929108,0.902457703,0.972877869,0.37832196,0.834828247,0.870436462,0.366711517,1.453660645,0.860934265,0.191129471,0.835030273,0.7655224,0.295560364,0.469516937,0.891658325,0.256287811,0.071355591,0.914680786,0.272304016,0.023975368,0.741137268,0.288378937,0.024940355,0.693314453,0.243173767,0.01889957,0.778395325,0.20237706,0.016237007,0.893294189,0.336519684,0.018220243,0.876831421,0.543343384,0.823398682,0.772875488,0.448815277,0.465545837,0.897718079,0.481335785,0.072326012,0.914319397,0.469502838,0.019943508,0.745229187,0.435401611,0.024991631,0.694803101,0.477962708,0.019053328,0.78177002,0.523104004,0.018261791,0.896051819,0.402049042,0.020590075,2569131,4294254,2665796,4473498,4061684,1868292
