Frame,Sub Frame,Fx,Fy,Fz,Cx,Cy
4,8,-2.23024,4.9044,584.755,0.831395534758659,0.38013821294965044
4,9,-1.95883,3.90612,583.872,0.8320617367574161,0.3808581967845051
5,0,-1.77907,3.7787,583.504,0.8318103497782177,0.3807494976640418
5,1,-2.3181,3.2141,583.783,0.8313433144158173,0.3802848309836487
5,2,-2.60433,3.50807,584.695,0.8305708831634954,0.38024133991748194
5,3,-2.50175,2.94777,584.917,0.8308645249431772,0.38013485267258695
5,4,-2.11674,3.52369,584.917,0.8311487858214617,0.37992109151152886
5,5,-1.6766,3.79857,584.637,0.8311640924864171,0.38003332549082186
5,6,-1.93282,4.19607,582.887,0.8313618941949301,0.3803127947853952
5,7,-2.51222,4.52234,583.841,0.8308622419292863,0.38041842053527164
5,8,-2.3626,4.80868,584.769,0.8303876962488623,0.38045096713710574
5,9,-1.73206,5.01956,585.196,0.8302410610810742,0.38035949205816216
6,0,-2.07184,4.83311,583.594,0.8304678713838937,0.38077103453644956
6,1,-2.34008,4.77314,584.547,0.8302206417426189,0.3801222566041991
6,2,-2.09862,4.92405,584.079,0.8309082988152429,0.38015015553912795
6,3,-1.74651,3.98324,584.694,0.831029959489137,0.3802397532116848
6,4,-2.0901,3.64761,583.8,0.8321271572125319,0.38049979395729466
6,5,-2.54871,3.32586,584.341,0.8324345087751761,0.38041262597613107
6,6,-2.98885,3.62286,583.726,0.8323546581468398,0.380335921235376
6,7,-2.80305,4.4018,583.783,0.8316621153138289,0.38089632561120235
6,8,-2.65956,4.58221,584.694,0.8307049887671527,0.38063262995756436
6,9,-2.43247,4.95922,583.522,0.8302337249901344,0.3804479013442679
7,0,-2.37696,5.66267,584.266,0.8296421347469847,0.3800852451343251
7,1,-2.02936,5.37092,583.448,0.829738349618168,0.3799393216332598
7,2,-1.93678,5.17508,582.872,0.8306294829061982,0.3800034378204858
7,3,-1.51975,5.00425,583.913,0.8311453510452436,0.3802809106761273
7,4,-1.82554,4.05978,582.816,0.8327398000633002,0.380395644883835
7,5,-2.77062,3.81851,583.002,0.8327562971858553,0.38062770050938066
7,6,-2.99321,3.51715,585.102,0.8323893449943633,0.3803569175090664
7,7,-2.22902,3.21066,586.738,0.8318444717992907,0.3806754645682137
7,8,-2.58053,3.37625,585.921,0.8310708148991484,0.3805144815900384
7,9,-2.52073,3.73793,584.508,0.8303090179230679,0.3802966512495563
8,0,-1.97885,4.72222,583.374,0.8297452099339275,0.3803458916179705
8,1,-2.2654,5.18997,585.379,0.8295699071409058,0.3803646161382252
8,2,-2.37696,5.47633,584.305,0.8304054612120094,0.3798707592655766
8,3,-2.23811,6.66611,584.971,0.8308379120337681,0.3800428102369782
8,4,-2.20089,6.51712,586.384,0.83141415885253,0.3805605123979422
8,5,-2.61737,4.89063,586.126,0.8320366708603225,0.38099479379180357
8,6,-2.7291,3.20732,584.584,0.8317415687620016,0.38119796000840117
8,7,-2.17392,2.18661,586.159,0.8314634265414117,0.38094042982546067
8,8,-2.37177,2.45619,585.569,0.8311084537081551,0.38040625770886355
8,9,-2.32623,2.95368,584.435,0.8304546050535914,0.37992781799790193
9,0,-2.70515,4.03271,585.045,0.8301429695577149,0.3803648111788669
9,1,-2.81714,5.34881,585.826,0.8303468157382559,0.38031032367315326
9,2,-2.60908,6.30915,585.698,0.8307644112658972,0.38027404652202534
9,3,-2.2063,6.64187,585.901,0.8310727290972507,0.38058638870196504
9,4,-2.25153,5.55455,584.307,0.8318658282536978,0.3806520244433173
9,5,-2.21959,4.04755,584.413,0.8309236953474136,0.38091855571689803
9,6,-1.92359,2.89614,583.729,0.8312588468290284,0.38024894116779434
9,7,-1.91806,2.59779,584.338,0.8312816975545965,0.38025899743156444
9,8,-1.93678,2.72781,584.563,0.8307387987876519,0.3804468294015538
9,9,-2.2833,4.12111,586.232,0.8301395611786927,0.3801931901269751
10,0,-1.68401,4.9376,585.292,0.8304348667195331,0.38063867096657306
10,1,-2.05091,5.05953,586.862,0.8305449284214649,0.3809002630761022
10,2,-2.47801,5.13465,585.721,0.8311847568930433,0.3811812985232572
10,3,-2.62231,4.55405,584.714,0.8315780725477631,0.380964734107546
10,4,-2.43327,3.64019,584.285,0.8318079059771128,0.3811099218644448
10,5,-2.79251,3.43666,583.932,0.8314281021883043,0.38029952321753907
10,6,-2.4897,2.98613,585.524,0.8304109205937596,0.38023765356650113
10,7,-2.4462,3.46451,585.421,0.8300843628656984,0.3802721154634811
10,8,-2.25731,4.00294,583.881,0.8302101392280787,0.3806851421854573
10,9,-2.89311,4.63034,586.836,0.8298937521719106,0.3806421688589712
11,0,-1.62773,5.14841,584.965,0.8305429763459232,0.38102949833406646
11,1,-1.78616,5.02532,586.154,0.8306226175237278,0.3809876463890949
11,2,-2.28278,4.66391,585.017,0.830913910891212,0.38083799875309704
11,3,-2.44615,4.057,587.339,0.8308212814330453,0.38034928401924945
11,4,-2.88011,3.83895,585.597,0.8312288659285496,0.38037987329718387
11,5,-2.23225,3.36843,583.251,0.8318317469483137,0.3803260925347485
11,6,-2.16316,3.09572,585.017,0.8308638668128023,0.3805756930142804
11,7,-2.13173,4.02979,584.79,0.8300919520256751,0.3804317982964684
11,8,-2.52779,3.77089,586.783,0.8296009009473306,0.38043147186620196
11,9,-2.50277,4.15246,585.17,0.8306234934426779,0.3808634454520372
12,0,-1.6353,4.6707,585.673,0.8305638211975783,0.38097371679357606
12,1,-2.03077,4.62321,586.531,0.8307954880510136,0.38073267818853657
12,2,-2.40826,4.4323,585.573,0.8308857707564353,0.38084706478391267
12,3,-2.25765,3.79172,585.547,0.8308118917442879,0.3807060729005855
12,4,-2.06267,3.17796,584.791,0.8307625407195274,0.38086136525955744
12,5,-1.95572,3.12974,585.118,0.8306527403012078,0.38058247512323695
12,6,-2.28225,3.07535,584.438,0.8307084567426258,0.3807340939075472
12,7,-1.75519,3.57921,585.042,0.8307516843356019,0.38078556264859936
12,8,-1.79188,3.79796,584.438,0.8307703659371645,0.38034330435544583
12,9,-2.12503,3.96831,584.764,0.8307271764961269,0.380554156110437
13,0,-1.85557,4.38389,585.748,0.8303983289264412,0.3806740031625983
13,1,-1.96788,4.2621,585.422,0.8301464093530713,0.38086541022791504
13,2,-1.74862,4.05061,584.993,0.8302314159694624,0.38086561411451025
13,3,-2.08693,3.48537,585.471,0.8299949339735769,0.3809619534918283
