Frame,Fx,Fy,Fz,Cx,Cy
1,-1.8979399999999997,4.243091,584.9033999999999,0.8310945045841175,0.3800055143257521
2,-2.0515250000000003,4.410572,584.8876,0.8311214335159043,0.37991772702320314
3,-2.039958,4.166406,584.0542,0.8310642033345627,0.3801113067494857
4,-1.882806,3.9739869999999997,584.0204,0.8312257996962643,0.3803842354851179
5,-2.153629,3.931755,584.3145999999999,0.830975484406274,0.3802906612756044
6,-2.377979,4.30531,584.078,0.8312143924636557,0.38045083979732974
7,-2.27825,4.29332,584.2586,0.831226506518162,0.38031757755742884
8,-2.3278600000000003,4.4266179999999995,585.1286,0.8308777374098624,0.38046518489891235
9,-2.287052,4.427749,585.0052,0.83085353536102,0.3804254108364113
10,-2.414734,4.18466,585.2468,0.830757780760667,0.3806931491829873
11,-2.258063,4.115088,585.4083,0.8307141612299258,0.3806212801956428
12,-2.030472,3.824646,585.1915,0.8307429936281568,0.38071204900714345
13,-1.978877,3.737483,584.8536,0.8302762355950148,0.38077857810257076
14,-2.075313,3.5383609999999996,584.6416,0.830369907696298,0.38078775388816144
15,-2.521267,3.4122169999999996,584.0058,0.8301843369854739,0.380877109387087
16,-2.440495,3.186396,583.9078000000001,0.8302373631368681,0.3808228090528954
17,-2.76646,3.008029,584.4464,0.8299452159388668,0.38085683360563366
18,-2.685946,2.887235,583.4952999999999,0.8298945680408265,0.38103177261866417
19,-2.77802,3.027316,583.5234,0.8295848862497381,0.38100836479406813
20,-2.697778,3.263805,582.817,0.8296815583862349,0.3809844551158157
21,-2.50608,2.9985340000000003,583.3154999999999,0.8295920293895644,0.3809393508059974
22,-2.471977,3.066284,583.4836,0.8294639029131698,0.3808010919295711
23,-2.167454,2.8597069999999998,582.9119,0.829336544117781,0.38106224820412166
24,-2.236077,2.907562,582.5888,0.8295766197926099,0.38112526227807675
25,-2.330927,3.152938,584.1074,0.8291843928957899,0.3812101561192838
26,-2.366566,3.1389400000000003,583.4056,0.8295856870930715,0.38122019204994173
27,-2.519878,2.912396,583.9951,0.8293911902449393,0.38129796841583585
28,-2.525383,2.8556660000000003,584.4796,0.8295996659653808,0.3813011504082067
29,-2.668894,2.606779,584.5443,0.8296559904175776,0.38128671443544
30,-2.508974,2.988813,584.2183,0.82952907718328,0.3812601476221364
31,-2.660057,3.119387,584.2208,0.8296033091270225,0.3812652143324297
32,-2.3337779999999997,3.095888,584.6856,0.8296410686764704,0.38118872389427233
33,-2.61267,3.2739959999999995,584.6729,0.8299337354536608,0.38100774142701954
34,-2.483201,3.2411410000000003,585.1436,0.8300898952068956,0.381057933648067
35,-2.177057,3.49275,584.6942,0.8300128048114119,0.3812487291060008
36,-2.215444,3.6298340000000002,584.397,0.8300482339696043,0.38111464290243846
37,-2.380425,3.447482,584.7046,0.8302328680915745,0.38102108177843225
