Frame,SubFrame,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z
12,0.0,752.937195,221.182983,912.175598,731.022583,511.89566,902.411011,972.806274,378.22995,834.925415,870.535217,366.854858,1453.90686,860.916199,191.044647,835.069214,765.625854,295.484772,469.524872,891.64325,256.276886,71.342018,914.693481,272.309845,23.99345,741.225342,288.393005,24.916691,693.357422,243.150589,18.879915,778.363892,202.376205,16.233437,893.507263,336.788086,18.357252,876.832092,543.279602,823.392456,773.013062,448.760651,465.500671,897.74231,481.310364,72.325081,914.279907,469.498138,19.866251,745.26886,435.390381,25.058397,694.861328,477.974915,19.088327,781.786194,523.11377,18.276125,896.047974,402.056152,20.609064
13,0.0,752.950256,221.197052,912.203308,731.031433,511.867218,902.418884,972.826599,378.260895,834.938599,870.725952,366.480225,1453.653564,860.913635,191.085968,835.093384,765.60022,295.535492,469.53656,891.728149,256.229858,71.373245,914.714661,272.292511,23.985287,741.155762,288.383057,24.948812,693.319092,243.112839,18.897976,778.389404,202.413712,16.221863,893.671509,337.275269,18.217976,876.832153,543.326172,823.407166,773.011414,448.80307,465.571899,897.737976,481.303589,72.324905,914.290649,469.47937,19.903328,745.245728,435.371582,25.067438,694.830078,477.956787,19.078512,781.787842,523.098938,18.249828,896.05426,402.058411,20.620642
14,0.0,752.976013,221.203476,912.174988,731.026978,511.874847,902.439453,972.835266,378.272034,834.921997,870.453186,366.922699,1453.881958,860.931458,191.087067,835.063171,765.569824,295.530579,469.546387,891.69751,256.246826,71.330994,914.718445,272.325562,23.96991,741.154663,288.366302,24.955782,693.333069,243.126465,18.923773,778.398376,202.380814,16.21509,893.558228,336.820618,18.34108,876.792908,543.314941,823.429443,773.003357,448.764832,465.547485,897.735535,481.321564,72.280975,914.310547,469.505188,19.923872,745.27771,435.344543,25.011562,694.910645,478.0159,19.02709,781.78717,523.104004,18.291189,896.074585,402.022278,20.556852
15,0.0,752.972839,221.217636,912.186829,731.02832,511.860443,902.424133,972.811035,378.289093,834.880737,870.615051,366.766296,1453.845215,860.908691,191.083771,835.032471,765.550415,295.548187,469.563568,891.746704,256.231903,71.397354,914.730469,272.3302,23.98842,741.199646,288.366852,24.908236,693.313721,243.160324,18.932076,778.403381,202.401123,16.207136,893.579773,337.022583,18.22101,876.782043,543.313232,823.433655,772.967041,448.803436,465.539978,897.721619,481.317535,72.300598,914.333557,469.493439,19.883318,745.256897,435.322418,25.018103,694.907043,478.004852,18.995481,781.739075,523.108521,18.25116,896.049927,402.041656,20.566235
16,0.0,752.92157,221.261139,912.143433,731.020569,511.90448,902.419983,972.834045,378.323212,834.889282,870.415833,366.915741,1453.857788,860.922058,191.097473,835.03772,765.549805,295.541504,469.509857,891.704651,256.274902,71.32489,914.707031,272.306305,23.93405,741.268677,288.371338,24.82406,693.350952,243.159149,18.910933,778.387085,202.449188,16.249617,893.693176,336.799683,18.6548,876.759583,543.315247,823.395935,772.964539,448.822144,465.520416,897.724182,481.277924,72.238892,914.346863,469.517212,19.859859,745.295593,435.355988,24.974934,694.904663,478.022888,19.008839,781.755981,523.107361,18.266336,896.055176,402.069397,20.582188
17,0.0,752.960571,221.258881,912.173523,731.023926,511.910736,902.413086,972.804932,378.331329,834.841736,870.440735,366.900085,1453.862549,860.900757,191.109833,835.039429,765.521912,295.548645,469.51178,891.656799,256.283936,71.322708,914.685303,272.351868,23.968666,741.226196,288.425415,24.835266,693.31427,243.167221,18.91893,778.409607,202.420944,16.195118,893.494385,336.56723,18.540283,876.78009,543.347961,823.407654,772.914551,448.789551,465.531738,897.727051,481.416382,72.357422,914.279236,469.523956,19.888277,745.311096,435.353699,24.937048,694.80658,477.983063,19.043976,781.759888,523.127686,18.291435,896.056396,402.066772,20.606394
18,0.0,752.960144,221.258286,912.130188,731.059387,511.955505,902.438171,972.863281,378.362457,834.852844,870.40802,366.906342,1453.851685,860.914551,191.093903,835.043335,765.557983,295.601105,469.563904,891.685669,256.28476,71.343132,914.717163,272.326569,23.958164,741.179138,288.401642,24.916874,693.324097,243.161301,18.916597,778.42395,202.39505,16.211878,893.621521,336.780151,18.620493,876.759888,543.346252,823.384583,772.90271,448.797852,465.540131,897.724243,481.368622,72.332756,914.284973,469.505737,19.919209,745.229309,435.422424,25.004889,694.877258,478.056091,19.021093,781.772583,523.144531,18.279554,896.046997,402.043762,20.591404
19,0.0,752.948242,221.266556,912.166931,731.058044,511.927307,902.426208,972.835083,378.320282,834.83075,870.585815,366.759888,1453.868774,860.918335,191.117203,835.039734,765.579285,295.603149,469.519379,891.643372,256.271667,71.357536,914.662842,272.328339,23.986423,741.19696,288.377625,24.961262,693.328125,243.154099,18.883602,778.3927,202.410065,16.258282,893.64502,336.803162,18.648111,876.82196,543.368469,823.388733,772.887634,448.805176,465.546448,897.718628,481.32431,72.315979,914.283569,469.523224,19.920639,745.204773,435.368652,25.010008,694.793823,477.974609,19.05101,781.793274,523.145813,18.31139,896.018005,402.067444,20.606279
20,0.0,752.935242,221.269806,912.139648,731.078735,511.930634,902.427856,972.867981,378.337036,834.855469,870.310303,366.940033,1453.780029,860.925964,191.127335,835.044739,765.523804,295.552032,469.536072,891.660889,256.284973,71.357697,914.717468,272.33725,24.003641,741.20929,288.382172,24.895332,693.354858,243.133591,18.877785,778.394653,202.417267,16.239119,893.572266,336.708893,18.55917,876.815369,543.375061,823.383118,772.889526,448.809082,465.524933,897.710815,481.341431,72.309395,914.291016,469.506348,19.923691,745.295898,435.38205,24.997086,694.891052,478.023346,18.995733,781.764771,523.103577,18.230936,896.000061,402.072266,20.606462
21,0.0,752.979553,221.289902,912.149719,731.063843,511.929108,902.457703,972.877869,378.32196,834.828247,870.436462,366.711517,1453.660645,860.934265,191.129471,835.030273,765.5224,295.560364,469.516937,891.658325,256.287811,71.355591,914.680786,272.304016,23.975368,741.137268,288.378937,24.940355,693.314453,243.173767,18.89957,778.395325,202.37706,16.237007,893.294189,336.519684,18.220243,876.831421,543.343384,823.398682,772.875488,448.815277,465.545837,897.718079,481.335785,72.326012,914.319397,469.502838,19.943508,745.229187,435.401611,24.991631,694.803101,477.962708,19.053328,781.77002,523.104004,18.261791,896.051819,402.049042,20.590075
22,0.0,752.999084,221.289093,912.169922,731.101257,511.938446,902.466858,972.889099,378.311859,834.842834,870.418396,366.875183,1453.890869,860.944641,191.130692,835.039734,765.56311,295.568359,469.530457,891.680481,256.28067,71.318573,914.704346,272.326385,23.973127,741.174194,288.381714,24.886488,693.299011,243.114014,18.959436,778.435425,202.44725,16.19524,893.635193,336.803497,18.595314,876.824158,543.345703,823.405701,772.819702,448.852997,465.605225,897.72113,481.323608,72.32605,914.260071,469.489197,19.928499,745.241089,435.330688,25.00255,694.889282,478.054749,19.019255,781.766296,523.119568,18.314447,896.046082,402.052917,20.633945
23,0.0,752.98175,221.295273,912.166443,731.120911,511.984039,902.487976,972.905945,378.30014,834.836487,870.424316,366.713135,1453.659424,860.944763,191.129578,835.024536,765.560913,295.600647,469.518646,891.693237,256.280884,71.31134,914.704956,272.317535,23.978092,741.148804,288.37616,24.927393,693.319458,243.145203,18.942074,778.393188,202.424576,16.206257,893.589294,336.772186,18.544479,876.876892,543.350525,823.444275,772.819885,448.815704,465.587555,897.717346,481.320068,72.327324,914.283691,469.443176,19.967072,745.232239,435.331482,24.962109,694.890442,478.009094,18.999403,781.782104,523.132019,18.26491,896.054382,402.04837,20.606327
24,0.0,752.980286,221.306656,912.135437,731.140015,511.988892,902.483398,972.907715,378.301056,834.858459,870.405762,366.916016,1453.911499,860.932983,191.149689,835.017517,765.522034,295.614044,469.558075,891.691833,256.289368,71.300041,914.671509,272.316681,23.981508,741.191895,288.372223,24.918173,693.340393,243.171295,18.928646,778.40686,202.401352,16.23033,893.53064,336.700867,18.502903,876.888733,543.357605,823.417603,772.757813,448.794006,465.590363,897.701233,481.297943,72.350235,914.302979,469.450012,20.004158,745.22937,435.339417,25.006418,694.867737,477.99942,18.975922,781.781006,523.089539,18.250763,896.050232,402.010529,20.575506
